task,task_no,source
"consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.","Rådføre seg med forskere for å analysere problemer, anbefale teknologiske løsninger og fastsette beregningsstrategier.",manual 2026-09-07
instruct others in the selection and use of bioinformatics tools.,Lære opp andre i valg og bruk av bioinformatikkverktøy.,manual 2026-09-07
"consult with and advise physicians, educators, researchers, government health officials and others regarding medical applications of sciences, such as physics, biology, and chemistry.","Rådgi leger, undervisere, forskere, helsemyndigheter og andre om medisinsk anvendelse av fag som fysikk, biologi og kjemi.",manual 2026-09-07
"communicate research results through conference presentations, scientific publications, or project reports.","Formidle forskningsresultater gjennom konferansepresentasjoner, vitenskapelige publikasjoner og prosjektrapporter.",manual 2026-09-07
"provide direct assistance to farmers by performing activities such as purchasing or selling products and supplies, supervising properties, and collecting soil and herbage samples for testing.","Bistå bønder direkte med oppgaver som kjøp og salg av produkter og innsatsvarer, tilsyn med eiendommer og innsamling av jord- og planteprøver til testing.",manual 2026-09-07
research information requested by farmers.,Finne frem informasjon som bønder etterspør.,manual 2026-09-07
"provide information or recommendations to farmers or other landowners regarding ways in which they can best use land, promote plant growth, or avoid or correct problems such as erosion.","Gi bønder og andre grunneiere informasjon og anbefalinger om hvordan de best kan utnytte jorda, fremme plantevekst og unngå eller rette opp problemer som erosjon.",manual 2026-09-07
"prepare and distribute leaflets, pamphlets, and visual aids for educational and informational purposes.","Utarbeide og distribuere brosjyrer, hefter og visuelle hjelpemidler til opplærings- og informasjonsformål.",manual 2026-09-07
"identify or recommend integrated weed and pest management (ipm) strategies, such as resistant plants, cultural or behavioral controls, soil amendments, insects, natural enemies, barriers, or pesticides.","Identifisere eller anbefale strategier for integrert plantevern, som resistente planter, dyrkingstekniske eller atferdsbaserte tiltak, jordforbedring, nytteinsekter, naturlige fiender, barrierer og plantevernmidler.",manual 2026-09-07
"communicate scientific or technical information to the public, organizations, or internal audiences through oral briefings, written documents, workshops, conferences, training sessions, or public hearings.","Formidle vitenskapelig eller teknisk informasjon til publikum, organisasjoner og interne målgrupper gjennom muntlige orienteringer, skriftlige dokumenter, arbeidsmøter, konferanser, kurs og offentlige høringer.",manual 2026-09-07
"propose new or modified policies involving use of traditional and alternative fuels, transportation of goods, and other factors relating to climate and climate change.","Foreslå ny eller endret politikk for bruk av tradisjonelle og alternative drivstoff, godstransport og andre forhold knyttet til klima og klimaendringer.",manual 2026-09-07
"develop, or contribute to the development of, educational or outreach programs on the environment or climate change.",Utvikle eller bidra til å utvikle undervisnings- eller formidlingsprogrammer om miljø og klimaendringer.,manual 2026-09-07
"prepare study reports, memoranda, briefs, testimonies, or other written materials to inform government or environmental groups on environmental issues such as climate change.","Utarbeide utredninger, notater, sammendrag, høringsuttalelser og annet skriftlig materiale for å informere myndigheter eller miljøorganisasjoner om miljøspørsmål som klimaendringer.",manual 2026-09-07
communicate with management and user personnel to develop production and design standards.,Kommunisere med ledelsen og brukerne for å utvikle produksjons- og designstandarder.,manual 2026-09-07
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.","Analysere komplekse systemer for å vurdere potensialet for videreutvikling, produksjon, samvirke, kompatibilitet eller nytte på et bestemt område, som luftfart.",manual 2026-09-07
"confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status.","Drøfte innkjøp, produkt- og produksjonsspesifikasjoner, produksjonskapasitet og prosjektstatus med kunder, leverandører, ansatte og ledelse.",manual 2026-09-07
"provide technical advice to industrial or managerial personnel regarding design, construction, or program modifications or structural repairs.","Gi teknisk rådgivning til fagfolk i industrien og ledere om design, bygging, programendringer og konstruksjonsreparasjoner.",manual 2026-09-07
"prepare project budgets, schedules, or specifications for labor or materials.","Utarbeide prosjektbudsjetter, tidsplaner og spesifikasjoner for arbeidskraft og materialer.",manual 2026-09-07
"confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.","Drøfte planer, spesifikasjoner og arbeidsplaner med entreprenører, forsyningsselskaper og offentlige etater.",manual 2026-09-07
provide technical support on water resource or treatment issues to government agencies.,Gi offentlige etater teknisk bistand i spørsmål om vannressurser og vannbehandling.,manual 2026-09-07
conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.,Gjennomføre opplæringsprogrammer som gir bønder og medlemmer av landbrukssamvirker informasjon som kan bedre produktiviteten i landbruket.,manual 2026-09-07
recommend design modifications to eliminate machine or system malfunctions.,Anbefale designendringer for å fjerne feil i maskiner eller systemer.,manual 2026-09-07
write technical reports or proposals related to engineering projects.,Skrive tekniske rapporter og forslag knyttet til ingeniørprosjekter.,manual 2026-09-07
"prepare plans, estimates, design and construction schedules, and contract specifications, including any special provisions.","Utarbeide planer, kostnadsoverslag, prosjekterings- og byggeplaner og kontraktsspesifikasjoner, inkludert eventuelle særbestemmelser.",manual 2026-09-07
confer with research personnel to clarify or resolve problems and to develop or modify designs.,Rådføre seg med forskningspersonale for å avklare eller løse problemer og for å utvikle eller endre design.,manual 2026-09-07
"prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.","Utarbeide rapporter, skisser, arbeidstegninger, spesifikasjoner, forslag og budsjetter for foreslåtte anlegg eller systemer.",manual 2026-09-07
"provide scientific or technical guidance or expertise to scientists, engineers, technologists, technicians, or others, using knowledge of chemical, analytical, or biological processes as applied to micro and nanoscale systems.","Gi vitenskapelig eller teknisk veiledning til forskere, ingeniører, teknologer, teknikere og andre, basert på kunnskap om kjemiske, analytiske og biologiske prosesser i mikro- og nanoskalasystemer.",manual 2026-09-07
"read current scientific or trade literature to stay abreast of scientific, industrial, or technological advances.","Lese aktuell vitenskapelig litteratur og fagpresse for å holde seg oppdatert på vitenskapelige, industrielle og teknologiske fremskritt.",manual 2026-09-07
write proposals to secure external funding or to partner with other companies.,Skrive søknader for å sikre ekstern finansiering eller inngå samarbeid med andre selskaper.,manual 2026-09-07
teach biomedical engineering or disseminate knowledge about the field through writing or consulting.,Undervise i biomedisinsk teknikk eller formidle kunnskap om faget gjennom skriving eller rådgivning.,manual 2026-09-07
investigate customer or public complaints to determine the nature and extent of problems.,Undersøke klager fra kunder eller publikum for å fastslå problemenes art og omfang.,manual 2026-09-07
integrate electrical systems with renewable energy systems to improve overall efficiency.,Integrere elektriske systemer med fornybare energisystemer for å bedre den samlede effektiviteten.,manual 2026-09-07
"develop systems that produce electricity using renewable energy sources, such as wind, solar, or biofuels.","Utvikle systemer som produserer strøm fra fornybare energikilder som vind, sol og biodrivstoff.",manual 2026-09-07
"evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration.","Vurdere faktorer som krav til rapportformater, kostnadsrammer og behov for sikkerhetsbegrensninger for å fastsette maskinvarekonfigurasjon.",manual 2026-09-07
confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.,Rådføre seg med ingeniører og gjennomgå spesifikasjoner for å vurdere grensesnittet mellom maskinvare og programvare samt drifts- og ytelseskrav til det samlede systemet.,manual 2026-09-07
"prepare necessary criteria, procedures, reports, or plans for successful conduct of the project with consideration given to site preparation, facility validation, installation, quality assurance, or testing.","Utarbeide nødvendige kriterier, prosedyrer, rapporter og planer for å gjennomføre prosjektet, med hensyn til klargjøring av anleggsområde, validering av anlegg, installasjon, kvalitetssikring og testing.",manual 2026-09-07
provide technical support for radio frequency identification device (rfid) technology.,Gi teknisk støtte for RFID-teknologi.,manual 2026-09-07
"prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses.","Utarbeide dokumentasjon med opplysninger som konfidensielle beskrivelser eller spesifikasjoner av egenutviklet maskinvare eller programvare, tidsplaner for produktutvikling og lansering, produktkostnader og svakheter ved produktytelsen.",manual 2026-09-07
define and compare possible radio frequency identification device (rfid) solutions to inform selection for specific projects.,Definere og sammenligne mulige RFID-løsninger som grunnlag for valg i konkrete prosjekter.,manual 2026-09-07
prepare graphic representations or drawings of proposed plans or designs.,Utarbeide grafiske fremstillinger eller tegninger av foreslåtte planer eller design.,manual 2026-09-07
develop planting plans for clients to assist them to garden productively or achieve particular aesthetic effects.,Utarbeide planteplaner for kunder som hjelper dem å dyrke effektivt eller oppnå bestemte estetiske virkninger.,manual 2026-09-07
"prepare site plans, specifications, or cost estimates for land development.","Utarbeide situasjonsplaner, spesifikasjoner eller kostnadsoverslag for arealutvikling.",manual 2026-09-07
advise corporations on issues involving corporate image projects or problems.,Gi råd til selskaper om spørsmål knyttet til omdømmeprosjekter eller omdømmeproblemer.,manual 2026-09-07
"sketch rough and detailed drawings of apparel or accessories, and write specifications such as color schemes, construction, material types, and accessory requirements.","Skissere grove og detaljerte tegninger av klær eller tilbehør, og skrive spesifikasjoner for fargevalg, konstruksjon, materialtyper og krav til tilbehør.",manual 2026-09-07
prepare notes and instructions for workers who assemble and prepare final layouts for printing.,Utarbeide notater og instruksjoner til medarbeidere som setter sammen og klargjør endelige oppsett for trykking.,manual 2026-09-07
"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.","Bruke historieutvikling, regi, filmfotografering og klipping i animasjon for å lage storyboards som viser animasjonens forløp og kartlegger nøkkelscener og figurer.",manual 2026-09-07
research new software or design concepts.,Undersøke ny programvare eller nye designkonsepter.,manual 2026-09-07
"create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.","Lage design, konsepter og eksempeloppsett basert på kunnskap om layoutprinsipper og estetiske designkonsepter.",manual 2026-09-07
"treat children who have minor illnesses, acute and chronic health problems, and growth and development concerns.","Behandle barn med mindre sykdommer, akutte og kroniske helseproblemer og bekymringer knyttet til vekst og utvikling.",manual 2026-09-07
educate patients about maintenance and promotion of healthy vision.,Lære pasienter hvordan de kan bevare og fremme godt syn.,manual 2026-09-07
examine children regularly to assess their growth and development.,Undersøke barn regelmessig for å vurdere vekst og utvikling.,manual 2026-09-07
plan and execute medical care programs to aid in the mental and physical growth and development of children and adolescents.,Planlegge og gjennomføre medisinske behandlingsopplegg som støtter den psykiske og fysiske veksten og utviklingen hos barn og ungdom.,manual 2026-09-07
"communicate examination results or diagnostic information to referring physicians, patients, or families.","Formidle undersøkelsesresultater eller diagnostisk informasjon til henvisende leger, pasienter eller pårørende.",manual 2026-09-07
"provide information about potential health hazards and possible interventions to the media, the public, other health care professionals, or local, state, and federal health authorities.","Informere media, allmennheten, annet helsepersonell og lokale, delstatlige og føderale helsemyndigheter om mulige helsefarer og aktuelle tiltak.",manual 2026-09-07
develop and prescribe exercise programs such as off-season conditioning regimens.,"Utarbeide og foreskrive treningsprogrammer, for eksempel kondisjonstrening utenom sesongen.",manual 2026-09-07
treat diseases of female organs.,Behandle sykdommer i kvinnelige kjønnsorganer.,manual 2026-09-07
instruct individuals and groups on ways to preserve health and prevent disease.,Veilede enkeltpersoner og grupper i hvordan de kan bevare helsen og forebygge sykdom.,manual 2026-09-07
"teach, take continuing education classes, attend conferences or seminars, or conduct research and publish findings to increase understanding of mental, emotional, or behavioral states or disorders.","Undervise, ta etterutdanning, delta på konferanser eller seminarer, eller forske og publisere funn for å øke forståelsen av psykiske, emosjonelle eller atferdsmessige tilstander og lidelser.",manual 2026-09-07
"counsel patients about drug regimens and possible side effects or interactions with other substances such as food supplements, over-the-counter (otc) medications, or herbal remedies.","Veilede pasienter om legemiddelbruk og mulige bivirkninger eller interaksjoner med andre stoffer som kosttilskudd, reseptfrie legemidler eller naturmidler.",manual 2026-09-07
"educate patients about self-management of acute or chronic illnesses, tailoring instructions to patients' individual circumstances.","Lære pasienter å mestre akutt eller kronisk sykdom på egen hånd, med veiledning tilpasset den enkeltes situasjon.",manual 2026-09-07
teach patient education programs that include information required to make informed health care and treatment decisions.,Undervise i pasientopplæringsprogrammer som gir informasjonen pasientene trenger for å ta informerte valg om helsehjelp og behandling.,manual 2026-09-07
"provide patients with information needed to promote health, reduce risk factors, or prevent disease or disability.","Gi pasienter informasjon som trengs for å fremme helse, redusere risikofaktorer eller forebygge sykdom og funksjonsnedsettelse.",manual 2026-09-07
design patient education programs that include information required to make informed health care and treatment decisions.,Utforme pasientopplæringsprogrammer som gir informasjonen pasientene trenger for å ta informerte valg om helsehjelp og behandling.,manual 2026-09-07
"develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.","Utarbeide behandlingsplaner basert på vitenskapelig grunnlag, behandlingsstandarder og faglige retningslinjer.",manual 2026-09-07
manage newborn care during the first weeks of life.,Ha ansvar for pleie av nyfødte i de første leveukene.,manual 2026-09-07
develop and implement individualized plans for health care management.,Utarbeide og iverksette individuelle planer for oppfølging av helsehjelp.,manual 2026-09-07
"explain procedures to patients, family members, staff members or others.","Forklare prosedyrer for pasienter, pårørende, ansatte eller andre.",manual 2026-09-07
"provide patients with direct family planning services such as inserting intrauterine devices, dispensing oral contraceptives, and fitting cervical barriers including cervical caps or diaphragms.","Gi pasienter prevensjonstjenester som innsetting av spiral, utlevering av p-piller og tilpasning av pessar eller livmorhalshette.",manual 2026-09-07
"publish educational information for other pharmacists, doctors, or patients.","Publisere opplæringsmateriell for andre farmasøyter, leger eller pasienter.",manual 2026-09-07
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.","Gi kunder råd om valg av legemiddelmerker, medisinsk utstyr eller helseartikler.",manual 2026-09-07
"develop and present health education and promotion programs, such as training workshops, conferences, and school or community presentations.","Utvikle og holde helseopplysnings- og helsefremmende programmer som kurs, konferanser og presentasjoner for skoler eller lokalsamfunn.",manual 2026-09-07
conduct safety training or education programs and demonstrate the use of safety equipment.,Gjennomføre sikkerhetsopplæring og demonstrere bruk av verneutstyr.,manual 2026-09-07
provide new-employee health and safety orientations and develop materials for these presentations.,Gi nyansatte opplæring i helse og sikkerhet og utarbeide materiell til disse presentasjonene.,manual 2026-09-07
recommend methods to increase lifestyle physical activity.,Anbefale metoder for å øke fysisk aktivitet i hverdagen.,manual 2026-09-07
explain exercise program or physiological testing procedures to participants.,Forklare treningsprogram eller fysiologiske testprosedyrer for deltakerne.,manual 2026-09-07
"teach courses or seminars related to exercise or diet for patients, athletes, or community groups.","Holde kurs eller seminarer om trening eller kosthold for pasienter, idrettsutøvere eller lokale grupper.",manual 2026-09-07
"plan, prepare, or carry out individually designed programs of physical treatment to maintain, improve, or restore physical functioning, alleviate pain, or prevent physical dysfunction in patients.","Planlegge, forberede og gjennomføre individuelt tilpassede fysikalske behandlingsopplegg for å bevare, bedre eller gjenopprette fysisk funksjon, lindre smerte eller forebygge funksjonssvikt hos pasienter.",manual 2026-09-07
"educate athletes or coaches on techniques to improve athletic performance, such as heart rate monitoring, recovery techniques, hydration strategies, or training limits.","Lære idrettsutøvere eller trenere teknikker som bedrer prestasjonen, som pulsmåling, restitusjonsteknikker, væskestrategier og treningsgrenser.",manual 2026-09-07
"identify and document goals, anticipated progress, and plans for reevaluation.","Fastsette og dokumentere mål, forventet fremgang og planer for ny vurdering.",manual 2026-09-07
"develop curriculum and prepare manuals, visual aids, course outlines, and other materials used in teaching.","Utvikle læreplaner og utarbeide håndbøker, visuelle hjelpemidler, kursoversikter og annet undervisningsmateriell.",manual 2026-09-07
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.","Gi råd til ledere og organisasjoner i serveringsbransjen om hygiene, sikkerhetsrutiner, menyutvikling, budsjettering og planlegging for å bistå ved etablering, drift og evaluering av serveringssteder og ernæringsprogrammer.",manual 2026-09-07
plan and prepare grant proposals to request program funding.,Planlegge og utarbeide søknader om tilskudd til finansiering av programmer.,manual 2026-09-07
monitor patients' progress and adjust treatments accordingly.,Følge med på pasientenes fremgang og justere behandlingen deretter.,manual 2026-09-07
"provide consultation, support, or education to groups such as parents and teachers.","Gi rådgivning, støtte eller opplæring til grupper som foreldre og lærere.",manual 2026-09-07
"refer clients to services, such as eye care, health care, rehabilitation, and counseling, to enhance visual and life functioning or when condition exceeds scope of practice.","Henvise klienter til tjenester som øyehelse, helsehjelp, rehabilitering og rådgivning for å bedre syns- og livsfunksjon, eller når tilstanden ligger utenfor eget fagområde.",manual 2026-09-07
"counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters.","Veilede pasienter om kosthold, trening, søvnvaner, stressmestring og andre forhold.",manual 2026-09-07
"prepare and deliver lectures to undergraduate or graduate students on topics such as abnormal psychology, cognitive processes, and work motivation.","Forberede og holde forelesninger for bachelor- og masterstudenter om emner som psykopatologi, kognitive prosesser og arbeidsmotivasjon.",manual 2026-09-07
"prepare and deliver lectures to undergraduate or graduate students on topics such as mechanics, hydraulics, and robotics.","Forberede og holde forelesninger for bachelor- og masterstudenter om emner som mekanikk, hydraulikk og robotikk.",manual 2026-09-07
"prepare and deliver lectures to undergraduate or graduate students on topics such as anatomy, therapeutic recreation, and conditioning theory.","Forberede og holde forelesninger for bachelor- og masterstudenter om emner som anatomi, terapeutisk fritidsaktivitet og treningslære.",manual 2026-09-07
"prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior, child and adolescent mental health, and social intervention evaluation.","Forberede og holde forelesninger for bachelor- og masterstudenter om emner som familieatferd, psykisk helse hos barn og unge og evaluering av sosiale tiltak.",manual 2026-09-07
"prepare and deliver lectures to undergraduate or graduate students and the community on topics such as ethics, logic, and contemporary religious thought.","Forberede og holde forelesninger for bachelor- og masterstudenter og allmennheten om emner som etikk, logikk og moderne religiøs tenkning.",manual 2026-09-07
"supervise independent or group projects, field placements, laboratory work, or other training.","Veilede selvstendige prosjekter eller gruppeprosjekter, praksisplasser, laboratoriearbeid eller annen opplæring.",manual 2026-09-07
"guide and counsel students with adjustment or academic problems, or special academic interests.","Veilede og rådgi studenter med tilpasningsproblemer, faglige problemer eller særskilte faglige interesser.",manual 2026-09-07
"advise students on course selection, career decisions, and other academic and vocational concerns.","Gi studenter råd om emnevalg, karrierevalg og andre faglige og yrkesmessige spørsmål.",manual 2026-09-07
provide individualized instruction and tutorial or remedial instruction.,Gi individuell undervisning og støtte- eller spesialundervisning.,manual 2026-09-07
"plan and supervise class projects, field trips, visits by guest speakers, or other experiential activities, and guide students in learning from those activities.","Planlegge og lede klasseprosjekter, ekskursjoner, gjesteforelesninger og andre praktiske aktiviteter, og veilede elevene i å lære av dem.",manual 2026-09-07
assign and grade class work and homework.,Gi og vurdere skolearbeid og lekser.,manual 2026-09-07
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,Gjennomføre standardiserte evne- og kunnskapsprøver og tolke resultatene for å finne elevenes sterke sider og behov.,manual 2026-09-07
"prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",Utarbeide mål og oversikter for undervisningsopplegg i tråd med læreplaner og krav fra delstater og skoler.,manual 2026-09-07
meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,Møte foreldre og foresatte for å drøfte barnas fremgang og avklare prioriteringer og ressursbehov for barna.,manual 2026-09-07
"sponsor extracurricular activities such as clubs, student organizations, and academic contests.","Være ansvarlig for fritidsaktiviteter som klubber, elevorganisasjoner og faglige konkurranser.",manual 2026-09-07
prepare reports on students and activities as required by administration.,Utarbeide rapporter om elever og aktiviteter etter krav fra administrasjonen.,manual 2026-09-07
"coordinate and supervise extracurricular activities, such as clubs, student organizations, and academic contests.","Koordinere og lede fritidsaktiviteter som klubber, elevorganisasjoner og faglige konkurranser.",manual 2026-09-07
"confer with parents or guardians, teachers, counselors, and administrators to resolve students' behavioral and academic problems.","Samarbeide med foreldre eller foresatte, lærere, rådgivere og administrasjon for å løse elevenes atferdsmessige og faglige problemer.",manual 2026-09-07
"organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling.","Organisere og lede aktiviteter som fremmer fysisk, mental og sosial utvikling, som lek, forming, musikk og historiefortelling.",manual 2026-09-07
"collaborate with other teachers and administrators in the development, evaluation, and revision of preschool programs.","Samarbeide med andre lærere og administrasjon om å utvikle, evaluere og revidere barnehageprogrammer.",manual 2026-09-07
"organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, storytelling, and field trips.","Organisere og lede aktiviteter som fremmer fysisk, mental og sosial utvikling, som lek, forming, musikk, historiefortelling og utflukter.",manual 2026-09-07
guide and counsel students with adjustment or academic problems or special academic interests.,"Veilede og rådgi elever med tilpasningsproblemer, faglige problemer eller særskilte faglige interesser.",manual 2026-09-07
"prepare, administer, and grade tests and assignments to evaluate children's progress.","Utarbeide, gjennomføre og vurdere prøver og oppgaver for å evaluere barnas fremgang.",manual 2026-09-07
"confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.","Samarbeide med andre ansatte om å planlegge og legge opp undervisning som fremmer læring, i tråd med godkjente læreplaner.",manual 2026-09-07
advise and teach students.,Veilede og undervise studenter.,manual 2026-09-07
teach instructors to use instructional technology or to integrate technology with teaching.,Lære opp undervisere i å bruke undervisningsteknologi eller integrere teknologi i undervisningen.,manual 2026-09-07
develop instruction or training roadmaps for online and blended learning programs.,Utvikle undervisnings- eller opplæringsplaner for nettbaserte og kombinerte læringsprogrammer.,manual 2026-09-07
"define instructional, learning, or performance objectives.","Definere undervisnings-, lærings- eller prestasjonsmål.",manual 2026-09-07
provide additional instruction in vocational areas.,Gi ekstra undervisning i yrkesfag.,manual 2026-09-07
"prepare objectives, outlines, or other materials for courses of study following curriculum guidelines or school or state requirements.","Utarbeide mål, oversikter og annet materiell for undervisningsopplegg i tråd med læreplaner og krav fra skole eller delstat.",manual 2026-09-07
"teach students personal development skills such as goal setting, independence, and self-advocacy.","Lære elever ferdigheter for personlig utvikling som målsetting, selvstendighet og å tale egen sak.",manual 2026-09-07
"communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.","Formidle atferdsobservasjoner og fremdriftsrapporter til elever, foreldre, lærere eller administrasjon.",manual 2026-09-07
"research or recommend textbooks, software, equipment, or other learning materials to complement tutoring.","Undersøke eller anbefale lærebøker, programvare, utstyr eller annet læremateriell som supplerer leksehjelpen.",manual 2026-09-07
"advise students on internships, prospective employers, and job placement services.","Gi studenter råd om praksisplasser, mulige arbeidsgivere og jobbformidlingstjenester.",manual 2026-09-07
"teach students study skills, note-taking skills, and test-taking strategies.","Lære elever studieteknikk, notatteknikk og prøvestrategier.",manual 2026-09-07
"prepare instructional program objectives, outlines, and lesson plans.","Utarbeide mål, oversikter og undervisningsplaner for opplæringsprogrammer.",manual 2026-09-07
"prepare and facilitate tutoring workshops, collaborative projects, or academic support sessions for small groups of students.","Forberede og lede leksehjelpsverksteder, samarbeidsprosjekter eller faglige støttetimer for små elevgrupper.",manual 2026-09-07
"provide feedback to students using positive reinforcement techniques to encourage, motivate, or build confidence in students.","Gi elevene tilbakemelding med positiv forsterkning for å oppmuntre, motivere og bygge selvtillit.",manual 2026-09-07
"maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records.","Føre oversikt over elevenes vurderingsresultater, fremgang, tilbakemeldinger og skoleprestasjoner, og sikre at alle opplysninger behandles konfidensielt.",manual 2026-09-07
"design, plan, organize, or direct orientation and training programs for employees or customers.","Utforme, planlegge, organisere eller lede introduksjons- og opplæringsprogrammer for ansatte eller kunder.",manual 2026-09-07
"counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.","Veilede enkeltpersoner slik at de forstår og overvinner personlige, sosiale eller atferdsmessige problemer som påvirker utdannings- eller arbeidssituasjonen.",manual 2026-09-07
provide information for teachers and staff members involved in helping students or graduates identify and pursue employment opportunities.,Gi informasjon til lærere og ansatte som hjelper studenter eller nyutdannede med å finne og søke jobbmuligheter.,manual 2026-09-07
"provide advice and technical assistance with cost analysis, fiscal allocation, and budget preparation.","Gi råd og faglig bistand til kostnadsanalyse, fordeling av midler og budsjettarbeid.",manual 2026-09-07
prepare forms and manuals for accounting and bookkeeping personnel and direct their work activities.,Utarbeide skjemaer og håndbøker for regnskaps- og bokføringsmedarbeidere og lede arbeidet deres.,manual 2026-09-07
prepare detailed reports on audit findings.,Utarbeide detaljerte rapporter om revisjonsfunn.,manual 2026-09-07
"conduct seminars or workshops on financial planning topics, such as retirement planning, estate planning, or the evaluation of severance packages.","Holde seminarer eller kurs om økonomisk planlegging, som pensjonsplanlegging, arveplanlegging og vurdering av sluttpakker.",manual 2026-09-07
"prepare reports, exhibits and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.","Utarbeide rapporter, vedlegg og andre underlagsdokumenter som beskriver institusjonens soliditet, etterlevelse av lover og forskrifter, og anbefalte løsninger på tvilsomme økonomiske forhold.",manual 2026-09-07
"determine feasibility of designing new facilities or modifying existing facilities, based on factors such as cost, available space, schedule, technical requirements, or ergonomics.","Vurdere om det er gjennomførbart å prosjektere nye anlegg eller endre eksisterende, ut fra faktorer som kostnad, tilgjengelig plass, tidsplan, tekniske krav og ergonomi.",manual 2026-09-07
support the development of training materials and technical manuals.,Bidra til utvikling av opplæringsmateriell og tekniske håndbøker.,manual 2026-09-07
"develop and implement technical project management tools, such as plans, schedules, and responsibility and compliance matrices.","Utvikle og innføre verktøy for teknisk prosjektstyring, som planer, tidsplaner og ansvars- og etterlevelsesmatriser.",manual 2026-09-07
"develop logistic metrics, internal analysis tools, or key performance indicators for business units.","Utvikle logistikkmål, interne analyseverktøy eller nøkkelindikatorer for forretningsenheter.",manual 2026-09-07
propose logistics solutions for customers.,Foreslå logistikkløsninger for kunder.,manual 2026-09-07
identify or develop business rules or standard operating procedures to streamline operating processes.,Identifisere eller utvikle forretningsregler eller standardprosedyrer for å effektivisere driftsprosessene.,manual 2026-09-07
"design security policies, programs, or practices to ensure adequate security relating to issues such as protection of assets, alarm response, and access card use.","Utforme sikkerhetsregler, -programmer og -rutiner som sikrer tilstrekkelig sikkerhet på områder som vern av verdier, alarmutrykning og bruk av adgangskort.",manual 2026-09-07
"stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.","Holde seg oppdatert på endringer i import- og eksportregelverket ved å lese faglitteratur, delta på møter eller konferanser, eller rådføre seg med kolleger.",manual 2026-09-07
"select and purchase technical web services, such as web hosting services, online merchant accounts, shopping cart software, payment gateway software, or spyware.","Velge og kjøpe tekniske nettjenester som webhotell, nettbutikkontoer, handlekurvprogramvare, betalingsløsninger eller spionprogramvare.",manual 2026-09-07
review employment applications and job orders to match applicants with job requirements.,Gjennomgå jobbsøknader og stillingsoppdrag for å matche søkere med kravene til stillingen.,manual 2026-09-07
"select qualified job applicants or refer them to managers, making hiring recommendations when appropriate.","Velge ut kvalifiserte søkere eller henvise dem til ledere, og gi tilsettingsanbefalinger der det er aktuelt.",manual 2026-09-07
adapt text to accommodate musical requirements of composers and singers.,Tilpasse tekst til de musikalske kravene fra komponister og sangere.,manual 2026-09-07
"invent names for products and write the slogans that appear on packaging, brochures and other promotional material.","Finne på produktnavn og skrive slagordene som brukes på emballasje, brosjyrer og annet reklamemateriell.",manual 2026-09-07
"write words to fit musical compositions, including lyrics for operas, musical plays, and choral works.","Skrive tekster til musikkverk, blant annet til operaer, musikaler og korverk.",manual 2026-09-07
prepare or deliver speeches to further public relations objectives.,Forberede eller holde taler som fremmer PR-målene.,manual 2026-09-07
confer with other managers to identify trends or key group interests or concerns or to provide advice on business decisions.,"Rådføre seg med andre ledere for å identifisere trender eller viktige gruppeinteresser og bekymringer, eller for å gi råd om forretningsbeslutninger.",manual 2026-09-07
"select or assist customers in selecting products based on customer needs, product specifications, and applicable regulations.","Velge produkter eller hjelpe kunder med å velge produkter ut fra kundens behov, produktspesifikasjoner og gjeldende regelverk.",manual 2026-09-07
"visit establishments, such as pharmacies, to determine product sales.",Besøke virksomheter som apotek for å kartlegge produktsalget.,manual 2026-09-07
